empleado_id,nombre,tienda_id,rol,tipo_contrato,salario_diario_mxn,antiguedad_meses,disponibilidad
N051-346,Antonio Ruiz,T051,piso_reposicion,completo,257.84,79,completa
N051-347,Roberto Mendoza,T051,cajas,completo,231.43,82,completa
N051-348,Ricardo Sánchez,T051,almacen,completo,209.16,24,completa
N051-349,Itzel Ramírez,T051,cajas,completo,246.7,10,parcial_tarde
N051-350,Mónica Rojas,T051,piso_reposicion,completo,219.47,88,completa
N051-351,Rubén Jiménez,T051,almacen,completo,207.84,2,completa
N051-352,Cecilia Gómez,T051,cajas,completo,225.75,87,completa
N051-353,Roberto Pérez,T051,almacen,completo,232.01,15,completa
N051-354,Eduardo Pérez,T051,perecederos,completo,272.85,31,completa
N051-355,Alejandra Núñez,T051,perecederos,completo,275.51,85,completa
N051-356,Manuel Silva,T051,piso_reposicion,completo,248.67,75,completa
N051-357,Eduardo Morales,T051,perecederos,completo,252.85,94,completa
N051-358,Óscar Torres,T051,perecederos,completo,294.29,73,completa
N051-359,Brenda Ortiz,T051,piso_reposicion,completo,246.66,5,completa
N051-360,Ramón Pérez,T051,perecederos,completo,286.33,101,completa
